Tree_ID,X_pixel,Y_pixel,Longitude,Latitude
tree_1,1596.9864501953125,4376.253662109375,698291.9785104082,9194325.403071173
tree_2,2430.944580078125,4371.854248046875,698333.6736994556,9194325.623024674
tree_3,3357.9139404296875,2712.530029296875,698380.01914695,9194408.582747273
tree_4,2526.4688720703125,4106.486328125,698338.44960279,9194338.89038302
tree_5,3826.682861328125,1751.23681640625,698403.4560655147,9194456.643649042
tree_6,295.82254791259766,2191.057373046875,698226.9245551276,9194434.654341009
tree_7,3126.52685546875,2064.2796630859375,698368.4505466751,9194440.992730778
tree_8,1602.527099609375,4106.3524169921875,698292.2555248247,9194338.897078054
tree_9,1843.1575927734375,949.1039123535156,698304.2862653902,9194496.74715772
tree_10,3568.3731689453125,3282.4405517578125,698390.5414225959,9194380.089449631
tree_11,880.5606994628906,5701.13671875,698256.15955734,9194259.164098937
tree_12,1802.8364868164062,3276.3671875,698302.2703414784,9194380.393094096
tree_13,3802.4193115234375,2835.790771484375,698402.2429670871,9194402.420192141
tree_14,3127.340087890625,1993.6912841796875,698368.4912056463,9194444.521873705
tree_15,3777.5576171875,2996.5191650390625,698400.9999633819,9194394.384400949
tree_16,3095.8787841796875,5026.53515625,698366.9182429772,9194292.891539216
tree_17,857.2319641113281,2735.765625,698254.9931965888,9194407.421058346
tree_18,3337.5960693359375,929.7925109863281,698379.003319601,9194497.712652277
tree_19,381.6109161376953,974.6613159179688,698231.213693998,9194495.46938748
tree_20,3998.6766357421875,3351.25927734375,698412.0551937949,9194376.648782449
tree_21,3810.8699951171875,1965.5262451171875,698402.6654737302,9194445.930015527
tree_22,2630.30712890625,5244.799072265625,698343.6411772756,9194281.979196876
tree_23,3810.9061279296875,2355.6806640625,698402.6672802531,9194426.423820173
tree_24,3343.12646484375,1649.446533203125,698379.2798213556,9194461.73276518
tree_25,3497.8597412109375,2716.9169921875,698387.0159809766,9194408.363416282
tree_26,1522.9164428710938,1885.2310791015625,698288.2752513986,9194449.944459856
tree_27,2161.9266357421875,811.8493347167969,698320.223678832,9194503.609349906
tree_28,1096.3646545410156,3603.0999755859375,698266.9490518981,9194364.057732292
tree_29,3784.5272216796875,3190.3118896484375,698401.3484208961,9194384.695522493
