Tree_ID,X_pixel,Y_pixel,Longitude,Latitude
tree_1,1596.9862060546875,4376.259521484375,698291.9784982019,9194325.402778227
tree_2,2430.9461669921875,4371.855224609375,698333.6737787961,9194325.622975849
tree_3,3357.9124755859375,2712.5279541015625,698380.0190737125,9194408.582851024
tree_4,2526.4722900390625,4106.4833984375,698338.4497736773,9194338.890529493
tree_5,3826.682861328125,1751.2356567382812,698403.4560655147,9194456.64370702
tree_6,295.8253631591797,2191.055908203125,698226.9246958807,9194434.654414246
tree_7,3126.5242919921875,2064.2782592773438,698368.4504185097,9194440.992800962
tree_8,1602.5279541015625,4106.3629150390625,698292.2555675466,9194338.896553192
tree_9,1843.15771484375,949.1032104492188,698304.2862714933,9194496.747192813
tree_10,3568.37255859375,3282.441162109375,698390.5413920803,9194380.089419115
tree_11,880.5589904785156,5701.135498046875,698256.1594718962,9194259.164159967
tree_12,1802.8341674804688,3276.36962890625,698302.2702255191,9194380.392972035
tree_13,3802.41552734375,2835.789306640625,698402.2427778904,9194402.420265378
tree_14,3127.34228515625,1993.6878051757812,698368.4913155024,9194444.522047643
tree_15,3777.558837890625,2996.5042724609375,698401.0000244131,9194394.385145519
tree_16,3095.8758544921875,5026.536376953125,698366.9180965024,9194292.891478185
tree_17,857.2321166992188,2735.7626953125,698254.9932042178,9194407.421204818
tree_18,3337.5899658203125,929.7914123535156,698379.0030144451,9194497.712707205
tree_19,381.6061706542969,974.6620483398438,698231.2134567393,9194495.46935086
tree_20,3998.6689453125,3351.2598876953125,698412.0548092984,9194376.648751933
tree_21,3810.875244140625,1965.5250854492188,698402.6657361643,9194445.930073505
tree_22,2630.302734375,5244.7978515625,698343.6409575633,9194281.979257908
tree_23,3810.905517578125,2355.67626953125,698402.6672497375,9194426.424039882
tree_24,3343.128173828125,1649.4470825195312,698379.2799067992,9194461.732737714
tree_25,3497.862548828125,2716.9176025390625,698387.0161213484,9194408.363385769
tree_26,1522.9107055664062,1885.2360229492188,698288.274964552,9194449.944212683
tree_27,2161.92626953125,811.8507995605469,698320.2236605226,9194503.60927667
tree_28,1096.3652954101562,3603.0999755859375,698266.9490839395,9194364.057732292
tree_29,3784.527587890625,3190.3135986328125,698401.3484392054,9194384.69543705
