epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.96,2.41288,4.11054,1.95047,0,0,0,0,nan,nan,nan,0.0680593,0.000651852,0.000651852
2,59.5252,1.87321,2.12612,1.62618,0.0024,0.56349,0.00191,0.00096,2.41589,inf,3.26958,0.0353924,0.00131838,0.00131838
3,76.4969,1.80934,1.94171,1.52364,0.00252,0.34921,0.00193,0.00095,2.19544,inf,2.20682,0.00272506,0.00198432,0.00198432
4,93.3932,1.77601,1.99455,1.51919,0.24579,0.30159,0.16663,0.05821,2.60642,21.7552,2.38629,0.00199805,0.00199805,0.00199805
5,110.254,1.69443,1.76776,1.45805,0.46974,0.37302,0.36179,0.16315,2.15208,10.8455,2.01214,0.00199653,0.00199653,0.00199653
6,126.969,1.62341,1.63204,1.43149,0.50965,0.49206,0.48616,0.24957,1.80107,2.11866,1.7076,0.00199458,0.00199458,0.00199458
7,143.913,1.63968,1.5424,1.43176,0.43803,0.44444,0.41908,0.16372,1.94177,2.08711,1.84848,0.00199219,0.00199219,0.00199219
8,160.797,1.57796,1.53031,1.3984,0.46051,0.26984,0.25077,0.09435,2.15927,2.38885,1.8667,0.00198938,0.00198938,0.00198938
9,177.654,1.5697,1.45097,1.40651,0.54895,0.34127,0.41221,0.16177,2.17769,2.19921,1.8934,0.00198614,0.00198614,0.00198614
10,194.291,1.55731,1.47772,1.37423,0.4636,0.5,0.45165,0.2041,1.71857,1.72664,1.64111,0.00198246,0.00198246,0.00198246
11,210.806,1.5485,1.4424,1.38086,0.6332,0.54804,0.54547,0.24032,1.65236,1.92971,1.5762,0.00197837,0.00197837,0.00197837
12,227.382,1.53761,1.3659,1.36525,0.59741,0.46032,0.54058,0.24146,1.85569,1.81314,1.78182,0.00197384,0.00197384,0.00197384
13,244.13,1.55098,1.34284,1.37006,0.54446,0.59524,0.55131,0.20289,1.9767,1.77311,1.85222,0.0019689,0.0019689,0.0019689
14,260.828,1.51415,1.34746,1.33723,0.65054,0.52381,0.61631,0.30545,1.55684,1.48382,1.5051,0.00196353,0.00196353,0.00196353
15,277.6,1.50009,1.3158,1.3175,0.58006,0.52623,0.54519,0.27677,1.59475,1.95205,1.5189,0.00195775,0.00195775,0.00195775
16,294.189,1.50378,1.29526,1.34588,0.62743,0.61111,0.67867,0.34446,1.38875,2.12046,1.40692,0.00195155,0.00195155,0.00195155
17,310.94,1.44415,1.25067,1.3001,0.6599,0.65079,0.67193,0.34724,1.414,1.45468,1.41125,0.00194493,0.00194493,0.00194493
18,328.07,1.44712,1.2788,1.3167,0.6234,0.63062,0.61794,0.33102,1.50749,1.57103,1.48026,0.00193791,0.00193791,0.00193791
19,344.841,1.40833,1.24408,1.29211,0.60899,0.65079,0.65516,0.32055,1.48537,1.39628,1.49421,0.00193048,0.00193048,0.00193048
20,361.661,1.46066,1.19536,1.31831,0.59147,0.69048,0.68295,0.33827,1.58475,1.28276,1.54645,0.00192264,0.00192264,0.00192264
21,378.27,1.46761,1.19809,1.32299,0.60302,0.61905,0.63496,0.34328,1.45943,1.50598,1.45186,0.00191441,0.00191441,0.00191441
22,394.75,1.40949,1.17029,1.27814,0.56863,0.62772,0.58907,0.29888,1.58512,1.49253,1.51678,0.00190578,0.00190578,0.00190578
23,411.494,1.38731,1.18546,1.28841,0.53317,0.61905,0.56031,0.29943,1.56138,1.64251,1.48495,0.00189675,0.00189675,0.00189675
24,428.192,1.33156,1.13711,1.2604,0.64387,0.53093,0.61324,0.3226,1.60109,1.3538,1.52293,0.00188734,0.00188734,0.00188734
25,444.828,1.30021,1.07788,1.23182,0.58363,0.5785,0.63879,0.32461,1.42836,1.30629,1.43655,0.00187754,0.00187754,0.00187754
26,461.462,1.33222,1.07859,1.24167,0.64663,0.54762,0.64155,0.3472,1.4238,1.41207,1.42345,0.00186737,0.00186737,0.00186737
27,478.056,1.34132,1.08129,1.25459,0.59646,0.62698,0.67564,0.37453,1.39792,1.37636,1.3922,0.00185681,0.00185681,0.00185681
28,494.845,1.31998,1.05046,1.23855,0.61279,0.65079,0.64252,0.34402,1.41898,1.47339,1.41651,0.00184588,0.00184588,0.00184588
29,511.756,1.32559,1.05149,1.248,0.68947,0.61677,0.69344,0.34965,1.4875,1.29304,1.48354,0.00183459,0.00183459,0.00183459
30,528.671,1.26646,1.07669,1.22574,0.61813,0.64235,0.67416,0.36101,1.44398,1.3041,1.41786,0.00182294,0.00182294,0.00182294
31,545.404,1.27442,0.99544,1.22114,0.53118,0.70635,0.65583,0.34797,1.49225,1.37986,1.45537,0.00181093,0.00181093,0.00181093
32,561.951,1.25852,0.95564,1.22379,0.59607,0.69841,0.65663,0.30484,1.6879,1.49069,1.59123,0.00179856,0.00179856,0.00179856
33,578.452,1.24855,1.03841,1.21727,0.60755,0.68254,0.65081,0.34727,1.39117,1.35105,1.38379,0.00178586,0.00178586,0.00178586
34,595.276,1.25519,0.94863,1.22662,0.65604,0.55556,0.65318,0.35201,1.47699,1.32851,1.48231,0.00177281,0.00177281,0.00177281
35,612.106,1.22526,0.95396,1.19895,0.54784,0.64427,0.64027,0.34785,1.42238,1.65777,1.42337,0.00175943,0.00175943,0.00175943
36,628.735,1.24652,0.9311,1.20649,0.61236,0.66667,0.68334,0.37331,1.4193,1.28312,1.41096,0.00174571,0.00174571,0.00174571
37,645.269,1.21155,0.9061,1.2014,0.59671,0.7046,0.65298,0.35221,1.44915,1.97666,1.47273,0.00173168,0.00173168,0.00173168
38,661.743,1.18243,0.90299,1.17176,0.61884,0.56699,0.64666,0.32849,1.53586,1.58668,1.48358,0.00171733,0.00171733,0.00171733
39,678.409,1.17194,0.87046,1.17084,0.58795,0.65873,0.67772,0.33602,1.56347,1.52562,1.50889,0.00170267,0.00170267,0.00170267
40,695.463,1.19633,0.88553,1.17576,0.70757,0.53175,0.66219,0.34013,1.48374,1.36602,1.47224,0.0016877,0.0016877,0.0016877
41,712.304,1.15716,0.87025,1.16252,0.53427,0.67374,0.66468,0.3367,1.56189,1.46927,1.52147,0.00167244,0.00167244,0.00167244
42,729.054,1.13921,0.83601,1.15382,0.61739,0.66594,0.67316,0.34484,1.49589,1.28131,1.47359,0.00165689,0.00165689,0.00165689
