epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4423,1.98089,3.80013,1.56226,0.13246,0.17235,0.0728,0.02863,2.1683,2.91817,1.49059,0.08824,0.00024,0.00024
2,16.6072,1.67765,1.92837,1.34345,0.03401,0.29831,0.02505,0.01172,nan,nan,nan,0.0754999,0.000499946,0.000499946
3,22.2193,1.64095,1.69225,1.30753,0.11816,0.02373,0.0136,0.00622,nan,nan,nan,0.0627597,0.00075967,0.00075967
4,27.3817,1.68091,1.58852,1.33892,0,0,0,0,nan,nan,nan,0.050019,0.001019,0.001019
5,32.6871,1.71115,1.64194,1.36115,0,0,0,0,nan,nan,nan,0.0372778,0.00127778,0.00127778
6,37.716,1.62986,1.57612,1.33461,0.00033,0.00678,0.00017,3e-05,nan,nan,nan,0.0245358,0.00153582,0.00153582
7,42.6456,1.58252,1.44745,1.30028,0.00838,0.0678,0.00284,0.00127,nan,nan,nan,0.011793,0.00179297,0.00179297
8,47.6244,1.61504,1.47859,1.2774,0.01153,0.17288,0.00616,0.00286,nan,nan,nan,0.00198938,0.00198938,0.00198938
9,52.4911,1.56702,1.48398,1.27181,0.0139,0.10508,0.00563,0.00239,nan,nan,nan,0.00198614,0.00198614,0.00198614
10,57.474,1.57752,1.44196,1.23699,0.02068,0.16949,0.00948,0.0032,2.98467,16.5792,2.09225,0.00198246,0.00198246,0.00198246
11,62.423,1.56848,1.44171,1.26124,0.21545,0.2,0.10232,0.04848,2.38338,2.3514,1.70821,0.00197837,0.00197837,0.00197837
12,67.4601,1.5393,1.35643,1.26582,0.34577,0.4891,0.36042,0.18136,1.75319,3.10581,1.36183,0.00197384,0.00197384,0.00197384
13,72.4886,1.57649,1.38501,1.23409,0.32173,0.35932,0.25108,0.11954,1.88411,3.45112,1.44792,0.0019689,0.0019689,0.0019689
14,77.4308,1.54801,1.33358,1.25252,0.26391,0.42373,0.23016,0.11236,1.88098,3.01022,1.39808,0.00196353,0.00196353,0.00196353
