epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.843,1.32271,0.66217,1.08049,0.87918,0.82744,0.87406,0.55867,1.28327,0.57428,1.11044,0.0673845,0.000665622,0.000665622
2,322.401,1.26791,0.58293,1.05523,0.87075,0.78328,0.86366,0.54095,1.30774,0.66804,1.10168,0.0347175,0.00133196,0.00133196
3,509.807,1.24645,0.57379,1.04976,0.90913,0.86272,0.9182,0.60566,1.19967,0.53355,1.06687,0.00204925,0.001997,0.001997
4,666.41,1.22424,0.55585,1.0379,0.91446,0.76571,0.85252,0.56385,1.23292,0.66558,1.08443,0.00199561,0.00199561,0.00199561
5,841.394,1.20517,0.5423,1.02944,0.92012,0.86935,0.9241,0.622,1.17249,0.51238,1.04981,0.00199219,0.00199219,0.00199219
6,999.124,1.18756,0.53166,1.02605,0.91662,0.88608,0.93019,0.63386,1.13479,0.48262,1.03825,0.00198781,0.00198781,0.00198781
7,1215.83,1.18964,0.52662,1.02154,0.91375,0.88122,0.9319,0.63022,1.15799,0.48777,1.04186,0.00198246,0.00198246,0.00198246
8,1373.17,1.1735,0.51705,1.01691,0.92872,0.89284,0.94046,0.64342,1.13333,0.4816,1.03241,0.00197616,0.00197616,0.00197616
9,1580.6,1.167,0.51248,1.01611,0.91772,0.88917,0.93804,0.63186,1.1349,0.49616,1.03519,0.0019689,0.0019689,0.0019689
10,1756.09,1.15145,0.50987,1.00836,0.92351,0.88699,0.94232,0.65325,1.11325,0.47627,1.02724,0.00196069,0.00196069,0.00196069
11,1945.16,1.15542,0.50716,1.00988,0.91827,0.89448,0.93973,0.64265,1.1293,0.47303,1.0273,0.00195155,0.00195155,0.00195155
12,2104.47,1.15868,0.50582,1.00995,0.92501,0.90186,0.93897,0.64682,1.12918,0.45233,1.03209,0.00194147,0.00194147,0.00194147
13,2312.18,1.14282,0.50277,1.006,0.92702,0.89898,0.94531,0.64578,1.12344,0.46598,1.02716,0.00193048,0.00193048,0.00193048
14,2472.07,1.14871,0.50321,1.00637,0.92306,0.89609,0.94309,0.64787,1.11518,0.46605,1.02396,0.00191858,0.00191858,0.00191858
15,2658.62,1.14592,0.50062,1.00822,0.92766,0.90163,0.94835,0.65331,1.12731,0.45736,1.02688,0.00190578,0.00190578,0.00190578
16,2816.15,1.1397,0.49643,1.00529,0.92068,0.89047,0.94309,0.65129,1.10242,0.46582,1.02091,0.0018921,0.0018921,0.0018921
17,3035.88,1.13822,0.49274,1.00189,0.92612,0.90876,0.94722,0.65241,1.11012,0.45123,1.02457,0.00187754,0.00187754,0.00187754
18,3193.32,1.13441,0.49091,1.00285,0.92436,0.90361,0.9451,0.6511,1.12064,0.45557,1.02548,0.00186213,0.00186213,0.00186213
19,3364.14,1.13657,0.49022,1.00054,0.92451,0.89349,0.94243,0.66134,1.085,0.44371,1.01978,0.00184588,0.00184588,0.00184588
20,3522.77,1.13488,0.48996,1.00116,0.93039,0.90636,0.94804,0.66672,1.08211,0.43394,1.01348,0.00182881,0.00182881,0.00182881
21,3712,1.12972,0.48418,0.99823,0.92725,0.90264,0.94509,0.65564,1.11129,0.44218,1.02185,0.00181093,0.00181093,0.00181093
22,3962.07,1.12842,0.48464,0.99892,0.93051,0.91074,0.95258,0.65639,1.10866,0.44156,1.01967,0.00179225,0.00179225,0.00179225
23,4144.77,1.11963,0.48151,0.99755,0.939,0.91212,0.95452,0.66427,1.10576,0.43415,1.01799,0.00177281,0.00177281,0.00177281
24,4305.53,1.11767,0.47626,0.99533,0.93562,0.91584,0.95372,0.66362,1.09326,0.43076,1.01666,0.00175261,0.00175261,0.00175261
25,4497.09,1.119,0.47574,0.99265,0.93604,0.90759,0.9519,0.66579,1.08986,0.43416,1.01441,0.00173168,0.00173168,0.00173168
26,4654.54,1.10972,0.47235,0.99355,0.93311,0.90757,0.94705,0.66819,1.06255,0.43102,1.00661,0.00171004,0.00171004,0.00171004
27,4848.62,1.10582,0.47402,0.99322,0.93894,0.9132,0.95547,0.67675,1.05804,0.42548,1.00441,0.0016877,0.0016877,0.0016877
28,5015.23,1.09471,0.4686,0.98888,0.93455,0.90939,0.94964,0.68238,1.0516,0.41408,1.00315,0.0016647,0.0016647,0.0016647
29,5222.97,1.09257,0.46359,0.98743,0.93089,0.91267,0.9507,0.68336,1.04037,0.41579,1.0011,0.00164105,0.00164105,0.00164105
30,5403.9,1.0917,0.46465,0.98823,0.92878,0.91034,0.9465,0.67742,1.04774,0.41642,1.00253,0.00161678,0.00161678,0.00161678
31,5631.57,1.08546,0.46003,0.98501,0.9364,0.91461,0.95465,0.67828,1.05247,0.42045,1.0041,0.00159191,0.00159191,0.00159191
32,5818.68,1.08325,0.45721,0.98565,0.94079,0.91288,0.9563,0.68425,1.04747,0.41495,0.99993,0.00156646,0.00156646,0.00156646
33,5976.58,1.08671,0.4599,0.98534,0.93946,0.91617,0.95369,0.67708,1.05162,0.41222,1.0031,0.00154047,0.00154047,0.00154047
34,6134.65,1.07997,0.45457,0.98535,0.93612,0.91691,0.95603,0.68363,1.05312,0.41245,1.00317,0.00151395,0.00151395,0.00151395
35,6390.06,1.08241,0.45415,0.98624,0.93902,0.91793,0.95633,0.68261,1.04951,0.40958,1.00316,0.00148694,0.00148694,0.00148694
36,6688.06,1.08087,0.45412,0.98529,0.93801,0.91698,0.95518,0.68639,1.04527,0.40832,1.00172,0.00145945,0.00145945,0.00145945
37,6850.51,1.07769,0.45558,0.98387,0.93345,0.9183,0.95393,0.68813,1.03048,0.40354,0.99608,0.00143152,0.00143152,0.00143152
38,7032.31,1.07699,0.45306,0.98413,0.939,0.91992,0.95744,0.68609,1.04296,0.40708,1.00088,0.00140318,0.00140318,0.00140318
39,7187.74,1.06868,0.44752,0.98088,0.93685,0.91662,0.95618,0.68812,1.03627,0.40579,0.99866,0.00137444,0.00137444,0.00137444
40,7392.13,1.06573,0.44855,0.98096,0.93639,0.92204,0.95565,0.68695,1.03949,0.40575,0.99975,0.00134535,0.00134535,0.00134535
41,7618.69,1.05674,0.44233,0.9761,0.93917,0.91778,0.95565,0.68759,1.03686,0.40451,0.99801,0.00131593,0.00131593,0.00131593
42,7789.21,1.06969,0.44753,0.98086,0.93801,0.91879,0.95603,0.69097,1.03226,0.40098,0.9967,0.0012862,0.0012862,0.0012862
43,7948.11,1.06414,0.44377,0.97744,0.93849,0.92101,0.95514,0.68588,1.0409,0.40168,1.00035,0.0012562,0.0012562,0.0012562
44,8157.66,1.0647,0.44417,0.9785,0.93968,0.92309,0.95693,0.68935,1.02886,0.4012,0.99476,0.00122596,0.00122596,0.00122596
45,8317.61,1.05807,0.43838,0.97555,0.94344,0.92211,0.95779,0.6934,1.02698,0.39629,0.99456,0.00119551,0.00119551,0.00119551
46,8567.86,1.05837,0.43661,0.97668,0.93682,0.92155,0.95543,0.68761,1.0355,0.39833,0.99797,0.00116487,0.00116487,0.00116487
47,8728.79,1.05889,0.43723,0.97635,0.94018,0.91974,0.95661,0.6895,1.03136,0.39867,0.99652,0.00113408,0.00113408,0.00113408
48,8902.58,1.05331,0.43647,0.97714,0.94136,0.92459,0.95929,0.69292,1.02925,0.39584,0.99566,0.00110317,0.00110317,0.00110317
